,post_number,subject,username,date
7444,7445,I would prefer that they maintain an active,Southern Gal,2013-01-21
7445,7446,maybe the web guy wants cash instead of shares,zomniac,2013-01-21
7446,7447,"Indeed. PP shares can only go so far, right?",Southern Gal,2013-01-21
7447,7448,I would prefer that they maintain an active,Line1,2013-01-21
7448,7449,I would prefer that they just keep working,Southern Gal,2013-01-21
7449,7450,"Interesting, I wonder how many website design folks",Bridge Jumper,2013-01-21
7450,7451,Absolutely.Did somebody suggest that both tasks were being,Southern Gal,2013-01-21
7451,7452,Some things are self explanatory....,Bridge Jumper,2013-01-21
7452,7453,Some things are self explanatory.... I am at,Southern Gal,2013-01-21
7453,7454,<DELETED>,<DELETED>,2013-01-21
7454,7455,"IMO, it will be very confusing and disappointing",Line1,2013-01-21
7455,7456,"Looks like a good day today, could it",Bridge Jumper,2013-01-21
7456,7457,For sure could Be the Day !!!SFRXEuro :),europtiger,2013-01-21
7457,7458,Are they diving on a federal holiday? eom,Southern Gal,2013-01-21
7458,7459,"Treasure doesn't take a holiday, but can make",Bridge Jumper,2013-01-21
7459,7460,"See the weather conditions live,  The link",wlfr01,2013-01-21
7460,7461,"Cool !! Thanks, can watch for sails on",Bridge Jumper,2013-01-21
7461,7462,I don't think tomorrow will not be the,goldfinger2,2013-01-21
7462,7463,"True, any day they get closer is a",Bridge Jumper,2013-01-21
7463,7464,perhaps they are diving on the so called...sabbath...right?,buccaneer1961,2013-01-21
7464,7465,yes,buccaneer1961,2013-01-21
7465,7466,"many work on a federal holiday,so what of",Southern Gal,2013-01-21
7466,7467,GO SFRX,NEXTMONTH,2013-01-21
7467,7468,i know what i'm voting for,GREGG THE GREEK,2013-01-21
7468,7469,<DELETED>,<DELETED>,2013-01-21
7469,7470,ONE WOULD HAVE to be confused,GREGG THE GREEK,2013-01-21
7470,7471,"YAI wasn't asking if ""many work on a",GREGG THE GREEK,2013-01-21
7471,7472,federal holidays arent the subject either...right? ,buccaneer1961,2013-01-21
7472,7473,"i mean, what's confusing about a website ??",Southern Gal,2013-01-21
7473,7474,federal holidays arent the subject either...right? As they,Southern Gal,2013-01-21
7474,7475,I am confused now ...right,NEXTMONTH,2013-01-21
7475,7476,"IMOIMO, it would be confusing if after at",GREGG THE GREEK,2013-01-21
7476,7477,right...,buccaneer1961,2013-01-21
7477,7478,THE only thing confusing to me is,GREGG THE GREEK,2013-01-21
7478,7479,i guess they should have a little note,buccaneer1961,2013-01-21
7479,7480,yes! its nonsense right? the company isnt trying,buccaneer1961,2013-01-21
7480,7481,RIGHTthat's sic,GREGG THE GREEK,2013-01-21
7481,7482,looking for the gold soon!,buccaneer1961,2013-01-21
7482,7483,Today will be a good day!!!!,goldfinger2,2013-01-22
7483,7484,Today is the day,GREGG THE GREEK,2013-01-22
7484,7485,looking foward to today!...um...right?,buccaneer1961,2013-01-22
7485,7486,"We Love Today,right?!SFRXEuro :)",europtiger,2013-01-22
7486,7487,Other than the change to Sfrx's website under,Southern Gal,2013-01-22
7487,7488,Does Sfrx have to share lantana salvage with,Southern Gal,2013-01-22
7488,7489,<DELETED>,<DELETED>,2013-01-22
7489,7490,<DELETED>,<DELETED>,2013-01-22
7490,7491,Other than the change to Sfrx's website under,Line1,2013-01-22
7491,7492,<<<I am sad that I can't buy in,basserdan,2013-01-22
7492,7493,<<<I am sad that I can't buy in,Southern Gal,2013-01-22
7493,7494,Tis true,GREGG THE GREEK,2013-01-22
7494,7495,NOTHING ,GREGG THE GREEK,2013-01-22
7495,7496,"and to think, the pps has risen substantially,",Line1,2013-01-22
7496,7497,"and to think, the pps has risen substantially",Southern Gal,2013-01-22
7497,7498,still churning in the .007 range very very,RIPPER,2013-01-22
7498,7499,Unfortunately I am bound by an NDA due,Southern Gal,2013-01-22
7499,7500,"Yes sir, we seem to be holding serve",Bridge Jumper,2013-01-22
7500,7501,you got that right.. SFRX is alright... ready,RIPPER,2013-01-22
7501,7502,YupNice % gain from .005 range,GREGG THE GREEK,2013-01-22
7502,7503,All part of the great social intercourse,GREGG THE GREEK,2013-01-22
7503,7504,Seafarer Exploration (SFRX),Southern Gal,2013-01-22
7504,7505,closed at .008... pretty cool... forming that new,RIPPER,2013-01-22
7505,7506,"Moving on up, nice and steady!!",Bridge Jumper,2013-01-22
7506,7507,It appears that there is resistance @ .0085ish.,Southern Gal,2013-01-22
7507,7508,Penny land anytime,NEXTMONTH,2013-01-22
7508,7509,It was nice to watch the pps get,Line1,2013-01-22
7509,7510,if you have any questions just find one,Southern Gal,2013-01-22
7510,7511,Not without some regression protection! lol,Bridge Jumper,2013-01-22
7511,7512,Must be a full crew painting lately,GREGG THE GREEK,2013-01-22
7512,7513,I like that color of paint with maybe,Bridge Jumper,2013-01-22
7513,7514,Looks like another great day for SFRX!!!,stockmanc,2013-01-22
7514,7515,The green in my account looks like emeralds,stockmanc,2013-01-22
7515,7516,<DELETED>,<DELETED>,2013-01-22
7516,7517,"yes...they wanted to buy...buy on the dips,and another",buccaneer1961,2013-01-22
7517,7518,"Any day could be THE day, then lot's",Bridge Jumper,2013-01-22
7518,7519,<DELETED>,<DELETED>,2013-01-22
7519,7520,in answer to you questions:.,buccaneer1961,2013-01-22
7520,7521,Right,GREGG THE GREEK,2013-01-23
7521,7522,"good,i was worried but nothing to worry about...right?",buccaneer1961,2013-01-23
7522,7523,I took a little vacation and look what,SPEC_OPS,2013-01-23
7523,7524,It's a great thing isn't it,GREGG THE GREEK,2013-01-23
7524,7525,This is a GREAT thing indeed! SFRX is,SPEC_OPS,2013-01-23
7525,7526,I very seriously doubt it my friend. Could,SPEC_OPS,2013-01-23
7526,7527,Having been intimately involved with this company for,IAMMINDFULL,2013-01-23
7527,7528,Do I see 9's trading?,Line1,2013-01-23
7528,7529,History is being made and changed here and,Southern Gal,2013-01-23
7529,7530,Yes indeed we do.,Southern Gal,2013-01-23
7530,7531,Pennyland,Line1,2013-01-23
7531,7532,And now a penny.,Southern Gal,2013-01-23
7532,7533,Woooohaaaaaa !!!! ASK is thinner then thin!!! Get,europtiger,2013-01-23
7533,7534,Something is up today! Big News coming? ,MadHatter326,2013-01-23
7534,7535,"yikes!less than 100,000 shares of bid support",Southern Gal,2013-01-23
7535,7536,Looking good today!!!!SFRX,stockmanc,2013-01-23
7536,7537,"Chart Looks Crazy good,Big Day hereSFRX",europtiger,2013-01-23
7537,7538,"Hell, I am loading my boat so full",SPEC_OPS,2013-01-23
7538,7539,"Go get your Tickets for the boatride,just starting hereSFRX",europtiger,2013-01-23
7539,7540,What do you think,Southern Gal,2013-01-23
7540,7541,so is the .015 pps we just hit,GREGG THE GREEK,2013-01-23
7541,7542,"My Personal think is,there is just nö Shares",europtiger,2013-01-23
7542,7543,"Hey "" BIG GREEK"" , BIG Thing ahead...",europtiger,2013-01-23
7543,7544,"Wow,Nice to see green after one of my",sctts,2013-01-23
7544,7545,"$SFRX - We are in pennyland, right?",Sir Francelote,2013-01-23
7545,7546,looks like volume stalled out,Southern Gal,2013-01-23
7546,7547,"IDK,Glass looks half full to me",sctts,2013-01-23
7547,7548,Time		Price	Volume	Exchange,Southern Gal,2013-01-23
7548,7549,Legitimate buys at a penny   ,sctts,2013-01-23
7549,7550,hold tight brother sctts,GREGG THE GREEK,2013-01-23
7550,7551,I'd like to see a whole lot more volume,Southern Gal,2013-01-23
7551,7552,"Ah,A fluke, another prized eating fish,",sctts,2013-01-23
7552,7553,"I just want to make sure, pennyland is",Bridge Jumper,2013-01-23
7553,7554,LMAOlooks like volume stalled out ,GREGG THE GREEK,2013-01-23
7554,7555,Fluke- good eating fish,Southern Gal,2013-01-23
7555,7556,PERHAPSlooks like volume stalled out ,GREGG THE GREEK,2013-01-23
7556,7557,Perhaps it is simply more and more people,sctts,2013-01-23
7557,7558,"Not so Long ago u sayed 0,003 is",europtiger,2013-01-23
7558,7559,"SometimesI should think that the 87,000 shares that",Southern Gal,2013-01-23
7559,7560,Great work getting the awareness out on SFRX,SPEC_OPS,2013-01-23
7560,7561,where is news to support an escalating pps?,Southern Gal,2013-01-23
7561,7562,"Onley 90k Left,then 0.02 up!!!SFRX",europtiger,2013-01-23
7562,7563,BJ this is just GREAT! I am very,SPEC_OPS,2013-01-23
7563,7564,<DELETED>,<DELETED>,2013-01-23
7564,7565,It is clear that someone can't see that,SPEC_OPS,2013-01-23
7565,7566,how many shares are offered @ .01?,Southern Gal,2013-01-23
7566,7567,Lots a Shares got eaten up between .0045,europtiger,2013-01-23
7567,7568,Not much volume above a penny.,Southern Gal,2013-01-23
7568,7569,<DELETED>,<DELETED>,2013-01-23
7569,7570,Quote:,buccaneer1961,2013-01-23
7570,7571,is SFRX up 80%?.. oh my yes she,RIPPER,2013-01-23
7571,7572,"Very interesting,",DYNAMITE DAVE,2013-01-23
7572,7573,"The bid is almost twice the ask, SFRX",SPEC_OPS,2013-01-23
7573,7574,I know right? SFRX is just getting started...,RIPPER,2013-01-23
7574,7575,"What more could a shareholder ask for?Well, for",Southern Gal,2013-01-23
7575,7576,"Whatch em fight to get the bid LMAO,",SPEC_OPS,2013-01-23
7576,7577,"Yes indeed, looking very, very green today!! ",Bridge Jumper,2013-01-23
7577,7578,"yes! last week when this went green,a flipper",buccaneer1961,2013-01-23
7578,7579,looks like somebody wants a premium for their shares....,zomniac,2013-01-23
7579,7580,SMH...yikes! ,Line1,2013-01-23
7580,7581,is SFRX up 80%?.. oh my yes she is,Southern Gal,2013-01-23
7581,7582,"And look what the last 500,000 sell did",Southern Gal,2013-01-23
7582,7583,today is just a sign of things to,GREGG THE GREEK,2013-01-23
7583,7584,see whai i meant some flipps while waiting,buccaneer1961,2013-01-23
7584,7585,<DELETED>,<DELETED>,2013-01-23
7585,7586,"YES, again, this obsession w the daily pps,",GREGG THE GREEK,2013-01-23
7586,7587,The price is moving even without a web,wlfr01,2013-01-23
7587,7588,.008 is a nice starting point for the,sctts,2013-01-23
7588,7589,Exactley!! Couleur Even belive that upleg Today.... Mybe,europtiger,2013-01-23
7589,7590,A close @.010 would be great,sctts,2013-01-23
7590,7591,"IF this closes above 012  or higher,",DYNAMITE DAVE,2013-01-23
7591,7592,<DELETED>,<DELETED>,2013-01-23
7592,7593,<DELETED>,<DELETED>,2013-01-23
7593,7594,"Bid up 9 again,Looking good here$SFRX",europtiger,2013-01-23
7594,7595,95 nowSFRX,europtiger,2013-01-23
7595,7596,why ?,zomniac,2013-01-23
7596,7597,The bid just moved back up to .009,SPEC_OPS,2013-01-23
7597,7598,I am not sure anything positive was going,Bridge Jumper,2013-01-23
7598,7599,<DELETED>,<DELETED>,2013-01-23
7599,7600,WHY NOT?,SPEC_OPS,2013-01-23
7600,7601,"IT MUST BE A MIRACLE, RIGHT ?",GREGG THE GREEK,2013-01-23
7601,7602,"YAi think the use of the word shenanigans,",GREGG THE GREEK,2013-01-23
7602,7603,<<<Lots a time for penny shenanigans ,basserdan,2013-01-23
7603,7604,"as long as he stays legal and transparent, ",zomniac,2013-01-23
7604,7605,i did not realize that Kyle was doing,GREGG THE GREEK,2013-01-23
7605,7606,"G whiz, look at that ",GREGG THE GREEK,2013-01-23
7606,7607,Right!!!SFRX,europtiger,2013-01-23
7607,7608,now up 55%... oh my SFRX is churning,RIPPER,2013-01-23
7608,7609,give us the inside scoop...what are his misgivings...im,buccaneer1961,2013-01-23
7609,7610,Look at that one little tiny trade at,SPEC_OPS,2013-01-23
7610,7611,looking great today ,GREGG THE GREEK,2013-01-23
7611,7612,got some .0082s and .0102s today,buccaneer1961,2013-01-23
7612,7613,"Wow,Might close above a penny today",sctts,2013-01-23
7613,7614,It 4 sure Looks like!!!SFRX,europtiger,2013-01-23
7614,7615,looks like a penny or higher today,GREGG THE GREEK,2013-01-23
7615,7616,looks like a penny or higher today ,sctts,2013-01-23
7616,7617,bids building,GREGG THE GREEK,2013-01-23
7617,7618,"yes, lovely",IAMMINDFULL,2013-01-23
7618,7619,IMO get used to it!,IAMMINDFULL,2013-01-23
7619,7620,"Did I just see another 500,000 shares traded",Line1,2013-01-23
7620,7621,wrong IMO,IAMMINDFULL,2013-01-23
7621,7622,That myth has been debunked several times. The,SPEC_OPS,2013-01-23
7622,7623,I personally think the company has convertibles going,parabolicplease,2013-01-23
7623,7624,SFRX -		Actually if you read the filings that,falcone,2013-01-23
7624,7625,imoit's looking as if the pps will close,GREGG THE GREEK,2013-01-23
7625,7626,THIS is interesting,GREGG THE GREEK,2013-01-23
7626,7627,<DELETED>,<DELETED>,2013-01-23
7627,7628,i believe ,GREGG THE GREEK,2013-01-23
7628,7629,indeed,Southern Gal,2013-01-23
7629,7630,Great Close 0.0125!!!SFRX,europtiger,2013-01-23
7630,7631,Seafarer Exploration (SFRX),Southern Gal,2013-01-23
7631,7632,<DELETED>,<DELETED>,2013-01-23
7632,7633,Full speed ahead  to the treasure captain...ahoy ....maitee,NEXTMONTH,2013-01-23
7633,7634,Last sale of the day brings the pps,ogorock,2013-01-23
7634,7635,not sure about the speed but it is,IAMMINDFULL,2013-01-23
7635,7636,yupSeafarer Exploration (SFRX) ,Southern Gal,2013-01-23
7636,7637,Nö afterhourtrades in SFRX,europtiger,2013-01-23
7637,7638,<DELETED>,<DELETED>,2013-01-23
7638,7639,How does it not count?  My questrade,ogorock,2013-01-23
7639,7640,SFRX 0.0125 ? 0.0045 (56.25%),RIPPER,2013-01-23
7640,7641,"Of course it ""counts""",Southern Gal,2013-01-23
7641,7642,it was a T trade the closing price,RIPPER,2013-01-23
7642,7643,Does this mean it will open at .0098,ogorock,2013-01-23
7643,7644,Another great day for SFRX!We are on our,stockmanc,2013-01-23
7644,7645,a t trade is something that happened earlier,RIPPER,2013-01-23
7645,7646,Let me help clear things up. The OFFICIAL,falcone,2013-01-23
7646,7647,My Ameritrade account shows .0098 as the last,Southern Gal,2013-01-23
7647,7648,No need to wonder. I just showed you,falcone,2013-01-23
7648,7649,"all i know is, we have had several",GREGG THE GREEK,2013-01-23
7649,7650,Thank you for responding to my post.,Southern Gal,2013-01-23
7650,7651,"to me, this is a sign that something",Southern Gal,2013-01-23
7651,7652,TO ME,GREGG THE GREEK,2013-01-23
7652,7653,Quote: ,GREGG THE GREEK,2013-01-23
7653,7654,Thanks things are good pal. I'm like a,mbumpt,2013-01-23
7654,7655,"No, there are not different sites reporting different",falcone,2013-01-23
7655,7656,fin and all ? LOL,GREGG THE GREEK,2013-01-23
7656,7657,Lolol always,mbumpt,2013-01-23
7657,7658,scottrade shows what this board show...right?..lol,buccaneer1961,2013-01-23
7658,7659,Hello Mr Greek... thanks for the heads up...coming,TJG,2013-01-23
7659,7660,Good day  but not our best yet,goldfinger2,2013-01-23
7660,7661,my pleasure TJG,GREGG THE GREEK,2013-01-23
7661,7662,NOT EVEN CLOSE,GREGG THE GREEK,2013-01-23
7662,7663,I'm sure the best is yet to come!SFRX,stockmanc,2013-01-23
7663,7664,We'll see in the morning.,Southern Gal,2013-01-23
7664,7665,"won't get to bogged down, either way, the",GREGG THE GREEK,2013-01-23
7665,7666,At some point there has to be some,Southern Gal,2013-01-23
7666,7667,yupAt some point there has to be some,GREGG THE GREEK,2013-01-23
7667,7668,DUNNOTreasure recovery would be nice. Odds of that,GREGG THE GREEK,2013-01-23
7668,7669,Interesting treasure videos,Southern Gal,2013-01-23
7669,7670,RIGHT?...RIGHT?? nope...this company will di just fine...right??,buccaneer1961,2013-01-24
7670,7671,SFRXTODAY IS THE DAY,GREGG THE GREEK,2013-01-24
7671,7672,Excellent post.,cjstocksup,2013-01-24
7672,7673,It sure looks like Falcone and Ripper were,Line1,2013-01-24
7673,7674,And it should be noted also that they,wlfr01,2013-01-24
7674,7675,<DELETED>,<DELETED>,2013-01-24
7675,7676,Wow! not only does the market agree with,SPEC_OPS,2013-01-24
7676,7677,As I posted.,Southern Gal,2013-01-24
7677,7678,Good morning SFRX!Looks like we are setting up,stockmanc,2013-01-24
7678,7679,Anybody have opinions as to how Sfrx will,Southern Gal,2013-01-24
7679,7680,this is IMO the real beginning for SFRX,IAMMINDFULL,2013-01-24
7680,7681,Serious investors are finding out about our treasure,stockmanc,2013-01-24
7681,7682,35 minutes till opening bell and I guess,falcone,2013-01-24
7682,7683,There is one thing here that I know,IAMMINDFULL,2013-01-24
7683,7684,"yes, they most certainly are ; )",IAMMINDFULL,2013-01-24
7684,7685,mark my words here that Today is the,Southern Gal,2013-01-24
7685,7686,personally glad for you and your family that,IAMMINDFULL,2013-01-24
7686,7687,Gooooood Morning SFRX Crew!!!,europtiger,2013-01-24
7687,7688,"Hey, here is a fact(link provided to authenticate).",SPEC_OPS,2013-01-24
7688,7689,ya know what is going to be so,IAMMINDFULL,2013-01-24
7689,7690,ThanksGlad to see that it went 1 of,Southern Gal,2013-01-24
7690,7691,Looking forward to that and we know it's,stockmanc,2013-01-24
7691,7692,10 Bagger +++ from here!!!SFRX,europtiger,2013-01-24
7692,7693,I would actually Hope we come down a,europtiger,2013-01-24
7693,7694,SFRX is moving  UP  the list on the,SPEC_OPS,2013-01-24
7694,7695,Right !!! $SFRX,europtiger,2013-01-24
7695,7696,"I did ""check back very soon"". Well, 4",Southern Gal,2013-01-24
7696,7697,yes! of course!,IAMMINDFULL,2013-01-24
7697,7698,Absolutely!An increase in posting activity will certainly sustain,Southern Gal,2013-01-24
7698,7699,What a sluggish start.,Southern Gal,2013-01-24
7699,7700,"Nice Start here Today,bid up 0,0115$SFRX",europtiger,2013-01-24
7700,7701,By the looks of.the PPS. There is only,falcone,2013-01-24
7701,7702,LOL it seems eTURD is confused about what,SPEC_OPS,2013-01-24
7702,7703,The new website is on its way!,IAMMINDFULL,2013-01-24
7703,7704,Yeah- I've been seeing that for 9+ weeks.,Southern Gal,2013-01-24
7704,7705,"Pressure is building,",DYNAMITE DAVE,2013-01-24
7705,7706,"Once the bid wacking is over,",DYNAMITE DAVE,2013-01-24
7706,7707,<DELETED>,<DELETED>,2013-01-24
7707,7708,<DELETED>,<DELETED>,2013-01-24
7708,7709,<DELETED>,<DELETED>,2013-01-24
7709,7710,<DELETED>,<DELETED>,2013-01-24
7710,7711,I suspect we will all be on pins,Line1,2013-01-24
7711,7712,Only one person cares about this website. ,Southern Gal,2013-01-24
7712,7713,right!...lol...so funny..right?,buccaneer1961,2013-01-24
7713,7714,<DELETED>,<DELETED>,2013-01-24
7714,7715,We look good here.,eddyimano,2013-01-24
7715,7716,<DELETED>,<DELETED>,2013-01-24
7716,7717,"THese low ball sellers,",DYNAMITE DAVE,2013-01-24
7717,7718,"No worries, it is afternoon and things normally",SPEC_OPS,2013-01-24
7718,7719,Next complaint will be that the SFRX website,Line1,2013-01-24
7719,7720,You really think so?? I will suggest we,Bridge Jumper,2013-01-24
7720,7721,"LEt them complain,",DYNAMITE DAVE,2013-01-24
7721,7722,Back up to .012 now. Things are looking,SPEC_OPS,2013-01-24
7722,7723,"We are moving around a bit, but it",Bridge Jumper,2013-01-24
7723,7724,"hey, did i mention that i get it ?",GREGG THE GREEK,2013-01-24
7724,7725,Quote:,GREGG THE GREEK,2013-01-24
7725,7726,"Most of us do, the ones who don't",SPEC_OPS,2013-01-24
7726,7727,"SURE thing, imo",GREGG THE GREEK,2013-01-24
7727,7728,"I think getting this is, well easy. Just",Bridge Jumper,2013-01-24
7728,7729,"""Divers in the water and gold on the",Bridge Jumper,2013-01-24
7729,7730,COULD BE any day now,GREGG THE GREEK,2013-01-24
7730,7731,I think we all know that you get,IAMMINDFULL,2013-01-24
7731,7732,I know it has,IAMMINDFULL,2013-01-24
7732,7733,"Then I am good sir, I like our chances!!",Bridge Jumper,2013-01-24
7733,7734,<DELETED>,<DELETED>,2013-01-24
7734,7735,"Good, we are focused on the treasure and",Bridge Jumper,2013-01-24
7735,7736,SFRX showing lots of strength!  Just might,MadHatter326,2013-01-24
7736,7737,Word in the surf is,sctts,2013-01-24
7737,7738,AWWW look somebody tried and failed. We close,SPEC_OPS,2013-01-24
7738,7739,Was that another T trade at the end,Line1,2013-01-24
7739,7740,Been reading that sort of timeline for quite,Southern Gal,2013-01-24
7740,7741,Perhaps the website will provide an update on,Southern Gal,2013-01-24
7741,7742,Seafarer Exploration (SFRX),Southern Gal,2013-01-24
7742,7743,Did the PPS close 20 % lower today? eom,Southern Gal,2013-01-24
7743,7744,I have only owned this stock for a,sctts,2013-01-24
7744,7745,i'm certainly hoping the colors r pretty,GREGG THE GREEK,2013-01-24
7745,7746,YUPi'm greener than the jolly green Giant,GREGG THE GREEK,2013-01-24
7746,7747,Music to our ears pal!,mbumpt,2013-01-24
7747,7748,I would listen to the surf,IAMMINDFULL,2013-01-24
7748,7749,February March April lol doesn't matter KK will,mbumpt,2013-01-24
7749,7750,Surfboard is ready,NEXTMONTH,2013-01-24
7750,7751,Always do    :),sctts,2013-01-24
7751,7752,BUT THIS IS ANOTHER TIMELINE...RIGHT?  >:O,buccaneer1961,2013-01-24
7752,7753,"IMO, this is the same time line.",Southern Gal,2013-01-24
7753,7754,<DELETED>,<DELETED>,2013-01-24
7754,7755,NOT imo,GREGG THE GREEK,2013-01-24
7755,7756,The problem with most penny players is they,falcone,2013-01-24
7756,7757,Thanks my fiend that was nice. You too,mbumpt,2013-01-24
7757,7758,Great post SFRX doing all the right things,stockmanc,2013-01-24
7758,7759,next month...right? ,buccaneer1961,2013-01-24
7759,7760,Below are some FACTS that can be proven.,Southern Gal,2013-01-24
7760,7761,<DELETED>,<DELETED>,2013-01-24
7761,7762,"TAMPA, FL -- (MARKETWIRE) -- 11/08/12 ",Southern Gal,2013-01-24
7762,7763,"Smart money is coming in, proven by the",Southern Gal,2013-01-24
7763,7764,well there's certainly smart and dumb (SIC money),GREGG THE GREEK,2013-01-24
7764,7765,one thing has changed.. we are trading at,RIPPER,2013-01-25
7765,7766,nope...dumb money cant move a stock...right? because its dumb..,buccaneer1961,2013-01-25
7766,7767,to answer this question of the day as,IAMMINDFULL,2013-01-25
7767,7768,Good Morning SFRX !!!,europtiger,2013-01-25
7768,7769,I know it is my man. Looking forward,mbumpt,2013-01-25
7769,7770,who see that SFRX will change history forever,Southern Gal,2013-01-25
7770,7771,<DELETED>,<DELETED>,2013-01-25
7771,7772,It is a GREAT morning to be in,SPEC_OPS,2013-01-25
7772,7773,Bridge Jumper...I agree with you.  ,Line1,2013-01-25
7773,7774,Wow! Take a look at the bid support,SPEC_OPS,2013-01-25
7774,7775,"Take a look at this quote! Awesome, gotta",SPEC_OPS,2013-01-25
7775,7776,I was so excited I forgot to add,SPEC_OPS,2013-01-25
7776,7777,WOOOOWHOOOO post number 7777 gotta love the number!!,SPEC_OPS,2013-01-25
7777,7778,GO SFRX!!!,SPEC_OPS,2013-01-25
7778,7779,<DELETED>,<DELETED>,2013-01-25
7779,7780,I can understand your excitement!! lol,Bridge Jumper,2013-01-25
7780,7781,Timber?? Looks like we are green with a,SPEC_OPS,2013-01-25
7781,7782,<DELETED>,<DELETED>,2013-01-25
7782,7783,Welcome CanadaPetro.,Line1,2013-01-25
7783,7784,Is anyone Else having Problems with L2 mobil,europtiger,2013-01-25
7784,7785,Only a 20% spread between the bid and ask!!!!,Southern Gal,2013-01-25
7785,7786,We are increasing our authorized shares,Southern Gal,2013-01-25
7786,7787,anyone who wants to see our ship the,IAMMINDFULL,2013-01-25
7787,7788,how do i find it?,europtiger,2013-01-25
7788,7789,could u please give me a link leading,europtiger,2013-01-25
7789,7790,http://www.cbs12.com/news/top-stories/stories/vid_4707.shtmlAt the 1:00 mark there a 2) 1-2,Southern Gal,2013-01-25
7790,7791,http://cbs12.com/news/top-stories/stories/officials-celebrate-riviera-beach-mari,GREGG THE GREEK,2013-01-25
7791,7792,"Yes sir, there we are at the 1:00",Bridge Jumper,2013-01-25
7792,7793,Looking good the Iron Maiden ready to bring,stockmanc,2013-01-25
7793,7794,Looking good the Iron Maiden ready to bring,Southern Gal,2013-01-25
7794,7795,Approx $3000 traded in the first hour and,Southern Gal,2013-01-25
7795,7796,history keeps being made,GREGG THE GREEK,2013-01-25
7796,7797,FOR SOME,GREGG THE GREEK,2013-01-25
7797,7798,yes!...the year of sfrx!!,buccaneer1961,2013-01-25
7798,7799,I know business well,IAMMINDFULL,2013-01-25
7799,7800,and thats true! to get in on the,buccaneer1961,2013-01-25
7800,7801,can't resist got a piece of this treasure.,sevendoubler,2013-01-25
7801,7802,"welcome, you can thank me soon ; )",IAMMINDFULL,2013-01-25
7802,7803,welcome to the bounty,buccaneer1961,2013-01-25
7803,7804,"thanks guys, i've been quietly building a position...good",sevendoubler,2013-01-25
7804,7805,cool...!,buccaneer1961,2013-01-25
7805,7806,"No mutiny on this Bounty Buc, it's all",Bridge Jumper,2013-01-25
7806,7807,yes...we will pull up several bootys and make,buccaneer1961,2013-01-25
7807,7808,"SevenDoubler!!!Welcome to the party,  lol",sctts,2013-01-25
7808,7809,Ship is still holding its own,DYNAMITE DAVE,2013-01-25
7809,7810,with all due respect matey,IAMMINDFULL,2013-01-25
7810,7811,"I like the sound of that, ALL ABOARD",Bridge Jumper,2013-01-25
7811,7812,Such a bargain?,Southern Gal,2013-01-25
7812,7813,Just for fun take a look at what,Goldenboy17,2013-01-25
7813,7814,The chances of salvaging a treasure are slim.,Southern Gal,2013-01-25
7814,7815,a great comparison of sorts,IAMMINDFULL,2013-01-25
7815,7816,"the thing is...deep sea recovery is sooo expensive,it",buccaneer1961,2013-01-25
7816,7817,Seafarer Exploration (SFRX),Southern Gal,2013-01-25
7817,7818,Right!  ,Line1,2013-01-25
7818,7819,T&STime		Price	Volume	Exchange15:56:36		0.01	10000	OTO15:55:42		0.0,Southern Gal,2013-01-25
7819,7820,<DELETED>,<DELETED>,2013-01-25
7820,7821,<DELETED>,<DELETED>,2013-01-25
7821,7822,<DELETED>,<DELETED>,2013-01-25
7822,7823,<DELETED>,<DELETED>,2013-01-25
7823,7824,<DELETED>,<DELETED>,2013-01-25
7824,7825,LOLSuch a bargain? ,GREGG THE GREEK,2013-01-25
7825,7826,LOOKS like somebody wanted in w more shares,GREGG THE GREEK,2013-01-25
7826,7827,"Nice day today, I can say with certainty",falcone,2013-01-25
7827,7828,<DELETED>,<DELETED>,2013-01-25
7828,7829,Right?,wlfr01,2013-01-25
7829,7830,<DELETED>,<DELETED>,2013-01-25
7830,7831,15:55:42 0.0081 600000 OTO someone took some profit,RIPPER,2013-01-25
7831,7832,you can say that again,GREGG THE GREEK,2013-01-25
7832,7833,SFRX is bringing it big time baby...,RIPPER,2013-01-25
7833,7834,IT HAS BEEN quite the last couple of,GREGG THE GREEK,2013-01-25
7834,7835,U can say that again ...GO SFRX,NEXTMONTH,2013-01-25
7835,7836,i'll do it for him,GREGG THE GREEK,2013-01-25
7836,7837,The directional trend for $SFRX is up over,mdimport,2013-01-26
7837,7838, I can tell everyone here that my,Southern Gal,2013-01-26
7838,7839,Time	 Price	Volume	Exchange,Southern Gal,2013-01-26
7839,7840,SFRX is now trading at a penny.,Southern Gal,2013-01-26
7840,7841,<DELETED>,<DELETED>,2013-01-26
7841,7842,I do believe you will be paying capital gains.,sctts,2013-01-26
7842,7843,I have done this many times. You are,falcone,2013-01-26
7843,7844,"Exactly, you are taxed on the lots SOLD,",sctts,2013-01-26
7844,7845,<DELETED>,<DELETED>,2013-01-26
7845,7846,Common sense,GREGG THE GREEK,2013-01-26
7846,7847,I agree on not worrying about paying taxes,GREGG THE GREEK,2013-01-26
7847,7848,Most people lose trying to day trade. It's,mdimport,2013-01-26
7848,7849,Most people lose trying to day trade. It's,sctts,2013-01-26
7849,7850,Here is some helpful information:,Bridge Jumper,2013-01-26
7850,7851,Hmmm looks good,NEXTMONTH,2013-01-26
7851,7852,"Yes sir, looking real nice Pro. ",Bridge Jumper,2013-01-26
7852,7853,Very well stated,GREGG THE GREEK,2013-01-26
